Incident Number,Neighborhood,Occur Month,Occur Year,Occurence Date,Person Injury,Precinct,Open Data Latitude,Open Data Longitude,X,Y
19-0298,Ashcreek,9,2019,9/12/2019,False,Central,45.446116643,-122.744641201,"7,626,099","656,743"
19-0086,West Portland Park,3,2019,3/20/2019,False,Central,45.447944125,-122.724911225,"7,631,179","657,269"
20-0251,West Portland Park,6,2020,6/21/2020,False,Central,45.450350217,-122.727749731,"7,630,475","658,166"
19-0276,Multnomah,8,2019,8/27/2019,False,Central,45.454275919,-122.719143699,"7,632,722","659,536"
20-0154,Marshall Park,4,2020,4/3/2020,False,Central,45.456029231,-122.695746625,"7,638,741","660,011"
19-0071,Sellwood-Moreland,3,2019,3/10/2019,False,Central,45.459327944,-122.649030508,"7,650,756","660,891"
20-0225,Pleasant Valley,6,2020,6/3/2020,False,East,45.461270920,-122.527458087,"7,681,957","660,793"
20-0382,NONE,7,2020,7/30/2020,False,East,45.461301684,-122.513240625,"7,685,604","660,713"
21-0187,Brentwood-Darlington,3,2021,3/2/2021,False,East,45.461502178,-122.594041612,"7,664,881","661,313"
20-0638,Brentwood-Darlington,10,2020,10/8/2020,False,East,45.462822236,-122.584374214,"7,667,373","661,730"
19-0130,Sellwood-Moreland,5,2019,5/2/2019,True,Central,45.462847378,-122.645549236,"7,651,683","662,150"
21-0127,Lents,2,2021,2/8/2021,False,East,45.463199971,-122.575034598,"7,669,772","661,806"
20-0815,Lents,11,2020,11/19/2020,False,East,45.463404619,-122.571451174,"7,670,693","661,857"
20-0533,Sellwood-Moreland,8,2020,8/31/2020,False,Central,45.463609993,-122.656974862,"7,648,760","662,506"
20-0427,Brentwood-Darlington,8,2020,8/13/2020,False,East,45.464153339,-122.596552760,"7,664,262","662,296"
20-0634,Sellwood-Moreland,9,2020,9/30/2020,False,Central,45.464316258,-122.645054916,"7,651,824","662,682"
20-0494,Pleasant Valley,8,2020,8/26/2020,False,East,45.464329892,-122.526222075,"7,682,302","661,900"
20-0764,South Burlingame,11,2020,11/16/2020,False,Central,45.464487470,-122.684422782,"7,641,729","663,015"
21-0181,Brentwood-Darlington,3,2021,3/1/2021,False,East,45.464869646,-122.613298303,"7,659,974","662,669"
21-0190,Brentwood-Darlington,3,2021,3/2/2021,False,East,45.465121195,-122.583932152,"7,667,508","662,565"
20-0524,Multnomah,9,2020,9/7/2020,False,Central,45.465309541,-122.699563741,"7,637,854","663,420"
20-0153,Sellwood-Moreland,4,2020,4/17/2020,False,Central,45.465784783,-122.642669465,"7,652,450","663,201"
20-0473,Brentwood-Darlington,8,2020,8/25/2020,True,East,45.466083467,-122.607865146,"7,661,379","663,075"
19-0308,Sellwood-Moreland,9,2019,9/19/2019,False,Central,45.466421107,-122.658496966,"7,648,397","663,541"
20-0319,Brentwood-Darlington,7,2020,7/12/2020,False,East,45.466835195,-122.580949757,"7,668,289","663,170"
20-0410,Lents,8,2020,8/7/2020,False,East,45.467488961,-122.574540023,"7,669,939","663,366"
20-0799,Sellwood-Moreland,11,2020,11/28/2020,False,Central,45.468291715,-122.641535690,"7,652,765","664,107"
19-0266,Brentwood-Darlington,8,2019,8/22/2019,False,East,45.468325409,-122.579109283,"7,668,775","663,701"
20-0817,Lents,11,2020,11/30/2020,True,East,45.468430763,-122.568569553,"7,671,479","663,670"
20-0170,Brentwood-Darlington,4,2020,4/30/2020,False,East,45.468649741,-122.589352864,"7,666,151","663,887"
20-0292,Lents,7,2020,7/5/2020,False,East,45.469015296,-122.574946674,"7,669,849","663,925"
19-0032,Brentwood-Darlington,1,2019,1/31/2019,True,East,45.469674799,-122.604730664,"7,662,217","664,363"
21-0122,Brentwood-Darlington,2,2021,2/8/2021,False,East,45.470078944,-122.579543873,"7,668,680","664,343"
20-0279,Brentwood-Darlington,7,2020,7/2/2020,False,East,45.470193302,-122.589413510,"7,666,150","664,450"
19-0218,Brentwood-Darlington,7,2019,7/15/2019,False,East,45.470941822,-122.585970525,"7,667,040","664,700"
20-0243,Brentwood-Darlington,6,2020,6/16/2020,False,East,45.472042077,-122.589286506,"7,666,200","665,123"
20-0014,Sellwood-Moreland,1,2020,1/4/2020,False,East,45.472953393,-122.649307888,"7,650,817","665,859"
20-0042,Brentwood-Darlington,1,2020,1/23/2020,False,East,45.473471349,-122.614620387,"7,659,717","665,813"
19-0315,Brentwood-Darlington,9,2019,9/21/2019,False,East,45.473479775,-122.581278858,"7,668,267","665,594"
20-0668,Lents,10,2020,10/16/2020,False,East,45.474210701,-122.564654124,"7,672,537","665,751"
20-0613,Lents,9,2020,9/29/2020,False,East,45.474389558,-122.573910609,"7,670,165","665,877"
20-0905,Brentwood-Darlington,12,2020,12/26/2020,False,East,45.474848848,-122.589284406,"7,666,227","666,146"
21-0262,Pleasant Valley,3,2021,3/27/2021,False,East,45.475639892,-122.521809226,"7,683,537","665,994"
19-0362,Mt Scott-Arleta,11,2019,11/9/2019,False,East,45.475884821,-122.589345893,"7,666,221","666,524"
20-0203,Mt Scott-Arleta,5,2020,5/24/2020,False,East,45.475884821,-122.589345893,"7,666,221","666,524"
21-0212,Lents,3,2021,3/8/2021,True,East,45.475955858,-122.549789287,"7,676,365","666,290"
20-0566,Hillsdale,8,2020,8/31/2020,False,Central,45.475993795,-122.699411813,"7,637,999","667,313"
20-0274,Powellhurst-Gilbert,6,2020,6/29/2020,False,East,45.476042746,-122.549379048,"7,676,471","666,319"
20-0508,Powellhurst-Gilbert,9,2020,9/2/2020,False,East,45.476042746,-122.549379048,"7,676,471","666,319"
21-0246,Multnomah,3,2021,3/22/2021,False,Central,45.476072653,-122.703884199,"7,636,853","667,373"
20-0263,Lents,6,2020,6/13/2020,True,East,45.476129948,-122.559837445,"7,673,790","666,419"
20-0811,Lents,11,2020,11/29/2020,False,East,45.476316743,-122.579003884,"7,668,877","666,613"
20-0172,Pleasant Valley,5,2020,5/2/2020,False,East,45.476386278,-122.522424642,"7,683,386","666,270"
19-0299,Pleasant Valley,9,2019,9/13/2019,True,East,45.476723494,-122.529124739,"7,681,671","666,436"
19-0404,Lents,12,2019,12/14/2019,False,East,45.476952999,-122.558003166,"7,674,268","666,707"
20-0796,Pleasant Valley,11,2020,11/27/2020,False,East,45.477354172,-122.532091618,"7,680,916","666,685"
21-0147,Lents,2,2021,2/18/2021,False,East,45.477520128,-122.563397714,"7,672,890","666,949"
20-0531,South Portland,9,2020,9/1/2020,False,Central,45.477602327,-122.671120889,"7,645,269","667,703"
20-0146,Sellwood-Moreland,4,2020,4/13/2020,False,Central,45.477754011,-122.646271977,"7,651,642","667,588"
20-0220,Lents,5,2020,5/26/2020,False,East,45.478245487,-122.563034062,"7,672,990","667,211"
20-0828,Pleasant Valley,12,2020,12/3/2020,False,East,45.478380310,-122.532089315,"7,680,926","667,059"
20-0082,Lents,2,2020,2/17/2020,False,East,45.479008879,-122.561774789,"7,673,320","667,481"
20-0083,Lents,2,2020,2/14/2020,False,East,45.479008879,-122.561774789,"7,673,320","667,481"
19-0065,Lents,2,2019,2/27/2019,False,East,45.479015327,-122.563401309,"7,672,903","667,494"
20-0466,Mt Scott-Arleta,8,2020,8/25/2020,False,East,45.479103868,-122.592467261,"7,665,451","667,718"
20-0532,Lents,9,2020,9/1/2020,False,East,45.479215456,-122.571181248,"7,670,910","667,618"
19-0106,Lents,4,2019,4/14/2019,False,East,45.479217289,-122.561322153,"7,673,438","667,554"
19-0349,Lents,10,2019,10/30/2019,False,East,45.479217289,-122.561322153,"7,673,438","667,554"
20-0897,Lents,12,2020,12/25/2020,False,East,45.479296141,-122.573399388,"7,670,342","667,662"
20-0612,Lents,9,2020,9/29/2020,False,East,45.479339884,-122.566864587,"7,672,018","667,635"
21-0071,Lents,1,2021,1/23/2021,False,East,45.479469048,-122.579010018,"7,668,905","667,762"
20-0731,Mt Scott-Arleta,11,2020,11/3/2020,False,East,45.479596589,-122.588008159,"7,666,599","667,868"
21-0078,Lents,1,2021,1/25/2021,False,East,45.479749369,-122.568197689,"7,671,680","667,793"
19-0322,Lents,10,2019,10/7/2019,False,East,45.479816684,-122.561250297,"7,673,462","667,772"
21-0020,Pleasant Valley,1,2021,1/5/2021,False,East,45.480103805,-122.536550157,"7,679,798","667,716"
20-0671,Lents,10,2020,10/16/2020,False,East,45.480105830,-122.569579581,"7,671,329","667,932"
20-0201,Pleasant Valley,5,2020,5/20/2020,False,East,45.480106821,-122.536998767,"7,679,683","667,720"
20-0603,Mt Scott-Arleta,9,2020,9/25/2020,False,East,45.480145534,-122.579530077,"7,668,778","668,012"
20-0376,Powellhurst-Gilbert,7,2020,7/28/2020,False,East,45.480151887,-122.537242183,"7,679,621","667,738"
21-0145,Powellhurst-Gilbert,2,2021,2/18/2021,False,East,45.480151887,-122.537242183,"7,679,621","667,738"
20-0025,Pleasant Valley,1,2020,1/11/2020,False,East,45.480186447,-122.535293415,"7,680,121","667,738"
20-0484,Lents,8,2020,8/29/2020,False,East,45.480218579,-122.561787482,"7,673,328","667,922"
20-0130,Lents,4,2020,4/6/2020,False,East,45.480529688,-122.572395277,"7,670,611","668,105"
20-0209,Lents,5,2020,5/27/2020,False,East,45.480529688,-122.572395277,"7,670,611","668,105"
21-0204,South Portland,3,2021,3/7/2021,True,Central,45.480663987,-122.680259092,"7,642,956","668,882"
21-0259,South Portland,3,2021,3/25/2021,False,Central,45.480699334,-122.680276049,"7,642,952","668,895"
19-0255,Lents,8,2019,8/11/2019,False,East,45.481315397,-122.570664972,"7,671,062","668,380"
19-0368,Lents,11,2019,11/16/2019,False,East,45.481315397,-122.570664972,"7,671,062","668,380"
21-0056,Lents,1,2021,1/16/2021,False,East,45.481574130,-122.574570656,"7,670,063","668,500"
